store_name,tag,location,website,num_reviews,average_reviews,features,region,phone_number,price_range
Pierre's Restaurant,"Posh environs for upscale global cuisine, Elegant, romantic Colonial-style eatery on the beach offering gourmet world cuisine & sunset views.","81600 Overseas Hwy, Islamorada, FL 33036, United States",moradabaykeys.com,453 reviews,4.4,"Restaurant, Bar, Eclectic restaurant, French restaurant, Lounge, Wedding venue",,+1 305-664-3225,Very expensive
The Ravenous Pig,"Innovative New American gastropub, Stylish gastropub serving inventive New American fare, beers brewed on-site & handcrafted cocktails.","565 W Fairbanks Ave, Winter Park, FL 32789, United States",theravenouspig.com,"2,162 reviews",4.5,American restaurant,,+1 407-628-2333,Expensive
"Cabbage Key, llc","Cozy rooms & cottages in quaint environs, Genteel rooms & cozy cottages, plus a venerable eatery & bar, in a tranquil Old Florida setting.","Pineland, FL 33945, United States",cabbagekey.com,"1,905 reviews",4.5,"Restaurant, Bar, Cottage rental, Inn, Resort hotel",,+1 239-283-2278,
Pollo Tropical,"Counter-serve Caribbean chain eatery, Counter-serve chain for Caribbean grilled chicken & pork platters, sandwiches & more.","404 SE 1st Ave, Florida City, FL 33034, United States",pollotropical.com,"1,591 reviews",3.7,"Chicken restaurant, Caribbean restaurant, Fast food restaurant",,+1 305-242-0173,Inexpensive
Spencer's For Steak & Chops,"Classy, contemporary hotel chophouse, Prime steaks are the highlight at this hotel chophouse with a luxe modern interior & outdoor tables.","6001 Destination Pkwy, Orlando, FL 32819, United States",thehiltonorlando.com,159 reviews,4.6,Restaurant,,+1 407-313-4300,Very expensive
Tabla Indian Restaurant,"Indian, Chinese & Thai specialties, Indian-style dishes share the menu with Chinese- & Thai-accented fare in a warm-hued space.","5847 Grand National Dr, Orlando, FL 32819, United States",tablacuisine.com,"8,214 reviews",4.5,"Indian restaurant, Bar, Delivery service, Gluten-free restaurant, Indian takeaway, Takeout restaurant, Restaurant, Thai restaurant, Vegan restaurant, Vegetarian restaurant",Florida Center,+1 407-248-9400,Moderately expensive
Border Grill Fresh-Mex,"Petite place for fresh Mexican fare, A compact Mexican eatery featuring made-to-order dishes & a salsa bar in a counter-serve space.","5695-A Vineland Rd, Orlando, FL 32819, United States",mhme.nu,"1,574 reviews",4.7,Mexican restaurant,Florida Center,,Inexpensive
Sear + Sea,,"14900 Chelonia Pkwy, Orlando, FL 32821, United States",marriott.com,113 reviews,4.5,"Restaurant, Bar & grill, Steak house",,+1 407-919-6383,
Eddie V's Prime Seafood,"Elegant, upscale steak & seafood pick, Elegant fine-dining chain with a seafood & steak menu, plus a cocktail lounge featuring live jazz","7488 W Sand Lake Rd, Orlando, FL 32819, United States",eddiev.com,"2,497 reviews",4.7,"Seafood restaurant, Cocktail bar, Fine dining restaurant, Jazz club, Lounge, New American restaurant, Oyster bar restaurant, Steak house",,+1 407-355-3011,Very expensive
The Old Spanish Sugar Mill,"Unique American eatery in a state park, Pancakes are cooked tableside on griddles at this homestyle American joint inside a state park.","601 Ponce Deleon Blvd, De Leon Springs, FL 32130, United States",oldspanishsugarmill.com,"2,033 reviews",4.6,Restaurant,,+1 386-985-5644,Inexpensive
