store_name,tag,location,website,num_reviews,average_reviews,features,region,phone_number,price_range
Mountain Sports,,"9 S 4th Ave, Mt Vernon, NY 10550, United States",,4 reviews,3.3,Sportswear store,South Side,+1 914-667-3112,
Fleet Feet - JackRabbit - West Side,"Running, swimming, cycling & yoga gear, Sports shop offering running shoe fittings & group classes plus cycling & swimming attire.","140 W 72nd St, New York, NY 10023, United States",jackrabbit.com,117 reviews,4.4,"Running store, Clothing store, Men's clothing store, Shoe store, Sportswear store, Women's clothing store",Manhattan,+1 917-338-4988,Moderately expensive
Grand Central Racquet Stringer,"Source for racquet sport gear & services, Store offering equipment & apparel for tennis, racquetball, squash & more, plus stringing services.","40 E 45th St, New York, NY 10017, United States",nycracquetsports.com,20 reviews,4.4,"Tennis store, Entertainment and recreation, Sporting goods store",Manhattan,+1 212-856-9647,
Fjällräven Nolita,"Sturdy, Swedish gear for the outdoors, Outpost of Sweden-based chain selling backpacks, tents, sleeping bags & clothing for the outdoors.","262 Mott St, New York, NY 10012, United States",fjallraven.com,137 reviews,4.6,"Outdoor sports store, Clothing store, Sportswear store",Manhattan,+1 646-965-7991,Expensive
Fjällräven Meatpacking NYC,,"408 W 14th St, New York, NY 10014, United States",stores.fjallraven.com,29 reviews,4.5,"Outdoor sports store, Outdoor clothing and equipment shop",Manhattan,+1 718-889-3872,
Legends Sporting Goods / GothamOutfitters.com,,"280 Page Ave, Staten Island, NY 10307, United States",gothamoutfitters.com,17 reviews,4.4,"Sporting goods store, Baseball goods store, Clothing store, Custom t-shirt store, Embroidery shop, Screen printing shop",Tottenville,+1 718-984-6270,
Super Runners Shop,"Footwear, apparel & gear for runners, Retailer selling name-brand running shoes, socks, tech apparel & gear for men & women.","745 7th Ave, New York, NY 10019, United States",superrunnersshop.com,154 reviews,4.3,"Running store, Clothing store, Shoe store, Sporting goods store",Manhattan,+1 212-398-2449,Moderately expensive
SPORTIVA OUTLET NYC,,"217 E 60th St, New York, NY 10065, United States",business.site,1 review,4,"Ski shop, Sporting goods store, Sports equipment rental service",Manhattan,+1 646-476-5056,
Fleet Feet - New York Running Company powered by JackRabbit,"Apparel, shoes & many store events, Sleek sporting goods store specializing in running, including gait analysis, events & group runs.","10 Columbus Cir, New York, NY 10019, United States",fleetfeetnyc.com,341 reviews,4.3,"Running store, Clothing store, Men's clothing store, Personal trainer, Physical fitness program, Shoe store, Sportswear store, Women's clothing store",Manhattan,+1 212-823-9626,Expensive
JD Sports,"Store for athletic shoes & apparel, Retail chain carrying a large selection of athletic footwear, apparel & accessories, plus fan gear.","215 E Fordham Rd, The Bronx, NY 10458, United States",stores.jdsports.com,309 reviews,3.9,"Sportswear store, Children's clothing store, Clothing store, Fashion accessories store, Men's clothing store, Shoe store, Women's clothing store",Fordham Manor,+1 718-295-9171,Moderately expensive
Mason's Tennis,"Retailer with name-brand gear & apparel, Specialty tennis shop offering name-brand gear, shoes & apparel, plus racquet stringing.","56 E 53rd St, New York, NY 10022, United States",masonstennis.com,150 reviews,4.5,Tennis store,Manhattan,+1 212-755-5805,Expensive
The North Face Broadway,"Mainstay for outerwear & outdoor gear, Chain retailer known for outerwear, apparel & gear for outdoor recreation & fitness.","2101 Broadway, New York, NY 10023, United States",stores.thenorthface.com,451 reviews,4.3,"Clothing store, Camping store, Outdoor sports store, Sportswear store",Manhattan,+1 212-362-1000,Expensive
Patagonia,,"426 Columbus Ave, New York, NY 10024, United States",patagonia.com,308 reviews,4.6,"Clothing store, Sportswear store",Manhattan,+1 917-441-0011,Expensive
Patagonia,,"72 Greene St, New York, NY 10012, United States",patagonia.com,607 reviews,4.5,"Clothing store, Outdoor clothing and equipment shop, Outerwear store, Sportswear store",Manhattan,+1 212-334-5213,Expensive
Nike NYC,"Mainstay for athletic apparel & footwear, Chain retailer selling a range of Nike athletic footwear, apparel & accessories.","650 5th Ave, New York, NY 10019, United States",nike.com,"2,150 reviews",4.3,"Sportswear store, Children's clothing store, Clothing store, Men's clothing store, Shoe store, Women's clothing store",Manhattan,+1 212-376-9480,
Athleta,"Stylish sportswear & gear for women, Chain retailer for trendy sportswear & accessories for women, offering gear, swimsuits & more.","1517 3rd Ave, New York, NY 10028, United States",athleta.gap.com,60 reviews,4.5,"Clothing store, Sportswear store, Women's clothing store",Manhattan,+1 212-249-2072,Expensive
Norrøna Flagship Store New York,,"67 Greene St, New York, NY 10012, United States",norrona.com,12 reviews,5,"Sporting goods store, Outdoor sports store, Outdoor clothing and equipment shop, Sportswear store",Manhattan,+1 917-388-2110,
DICK'S Sporting Goods,"Supplier of sports & recreation gear, Sporting goods chain with equipment, apparel & footwear for athletics, outdoor recreation & fitness.","240 NJ-17, Paramus, NJ 07652, United States",stores.dickssportinggoods.com,657 reviews,3.7,"Sporting goods store, Baseball goods store, Bicycle store, Clothing store, Exercise equipment store, Golf shop, Hunting and fishing store, Outdoor clothing and equipment shop, Outdoor sports store, Shoe store",,+1 201-261-2926,
Panda Ski and Sport: Brooklyn NY,"Ski shop selling equipment & apparel, Sporting goods store offering equipment, clothing & accessories for skiing & snowboarding.","9213 5th Ave, Brooklyn, NY 11209, United States",pandasportdirect.com,305 reviews,4.7,"Ski shop, Golf shop, Ski rental service, Snowboard shop",Fort Hamilton,+1 718-238-4919,
Nike 21M,"Mainstay for athletic apparel & footwear, Chain retailer selling a range of Nike athletic footwear, apparel & accessories for adults & kids.","21 Mercer St, New York, NY 10013, United States",nike.com,502 reviews,4,"Sportswear store, Children's clothing store, Clothing store, Men's clothing store, Shoe store, Women's clothing store",Manhattan,+1 212-226-5433,Expensive
Nike 21M,"Mainstay for athletic apparel & footwear, Chain retailer selling a range of Nike athletic footwear, apparel & accessories for adults & kids.","21 Mercer St, New York, NY 10013, United States",nike.com,502 reviews,4,"Sportswear store, Children's clothing store, Clothing store, Men's clothing store, Shoe store, Women's clothing store",Manhattan,+1 212-226-5433,Expensive
PUMA Flagship,"Branded sports shoes, gear & apparel, Retail location for the brand's own athletic shoes & apparel, backpacks & other accessories.","609 5th Ave, New York, NY 10017, United States",us.puma.com,412 reviews,4.5,Sportswear store,Manhattan,+1 917-594-5161,
The North Face Fifth Ave.,"Mainstay for outerwear & outdoor gear, Chain retailer known for outerwear, apparel & gear for outdoor recreation & fitness.","510 5th Ave, New York, NY 10036, United States",stores.thenorthface.com,"2,262 reviews",4.3,"Clothing store, Camping store, Outdoor sports store, Sportswear store",Manhattan,+1 212-221-1929,
The North Face Soho,"Mainstay for outerwear & outdoor gear, Chain retailer known for outerwear, apparel & gear for outdoor recreation & fitness.","584 Broadway B -103, New York, NY 10012, United States",stores.thenorthface.com,287 reviews,4.3,"Clothing store, Camping store, Outdoor sports store, Sportswear store",Manhattan,+1 212-226-6094,
Flight Club,"Retail & consignment shop for sneakers, Bustling retail & consignment store for rare & popular sneakers in an airy, polished setting.","812 Broadway, New York, NY 10003, United States",flightclub.com,"3,314 reviews",4,"Shoe store, Consignment shop, Sportswear store, Store",Manhattan,,
Gol Latino,,"2326 Grand Concourse, The Bronx, NY 10458, United States",soccershopny.com,37 reviews,4.3,Sporting goods store,Fordham Heights,+1 917-473-7585,
